lastName,firstName,contributionRole,PIName,associate,researcherDesignation,org,pub,ref
Dokainish,Hisham,First Listed Author,Hisham Dokainish,FALSE,Other,PHRI,985,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,639,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,461,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,762,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,133,FALSE
Dokainish,Hisham,First Listed Author,Hisham Dokainish,FALSE,Other,PHRI,63,FALSE
Dokainish,Hisham,First Listed Author,Hisham Dokainish,FALSE,Other,PHRI,652,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,322,FALSE
Dokainish,Hisham,First Listed Author,Hisham Dokainish,FALSE,Other,PHRI,193,FALSE
Dokainish,Hisham,First Listed Author,Hisham Dokainish,FALSE,Other,PHRI,939,FALSE
Dokainish,Hisham,First Listed Author,Hisham Dokainish,FALSE,Other,PHRI,618,FALSE
Dokainish,Hisham,First Listed Author,Hisham Dokainish,FALSE,Other,PHRI,319,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,324,FALSE
Dokainish,Hisham,First Listed Author,Hisham Dokainish,FALSE,Other,PHRI,121,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,419,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,223,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,55,FALSE
Dokainish,Hisham,First Listed Author,Hisham Dokainish,FALSE,Other,PHRI,238,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,173,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,854,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,585,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,802,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,516,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,391,FALSE
Dokainish,Hisham,Co-Author,Hisham Dokainish,FALSE,Other,PHRI,475,FALSE
Tang,Ada,Co-Author,Ada Tang,FALSE,Other,PHRI,262,FALSE
Tang,Ada,Co-Author,Ada Tang,FALSE,Other,PHRI,298,FALSE
Tang,Ada,First Listed Author,Ada Tang,FALSE,Other,PHRI,475,FALSE
Tang,Ada,First Listed Author,Ada Tang,FALSE,Other,PHRI,628,FALSE
Tang,Ada,First Listed Author,Ada Tang,FALSE,Other,PHRI,646,FALSE
Tang,Ada,Co-Author,Ada Tang,FALSE,Other,PHRI,836,FALSE
Tang,Ada,Co-Author,Ada Tang,FALSE,Other,PHRI,500,FALSE
Tang,Ada,Last Author,Ada Tang,FALSE,Other,PHRI,961,FALSE
Tang,Ada,Co-Author,Ada Tang,FALSE,Other,PHRI,435,FALSE
Tang,Ada,First Listed Author,Ada Tang,FALSE,Other,PHRI,848,FALSE
Tang,Ada,First Listed Author,Ada Tang,FALSE,Other,PHRI,366,FALSE
Tang,Ada,Co-Author,Ada Tang,FALSE,Other,PHRI,533,FALSE
Tang,Ada,First Listed Author,Ada Tang,FALSE,Other,PHRI,310,FALSE
Tang,Ada,Last Author,Ada Tang,FALSE,Other,PHRI,597,FALSE
Tang,Ada,Co-Author,Ada Tang,FALSE,Other,PHRI,977,FALSE
Tang,Ada,Co-Author,Ada Tang,FALSE,Other,PHRI,635,FALSE
Tang,Ada,First Listed Author,Ada Tang,FALSE,Other,PHRI,680,FALSE
Tang,Ada,First Listed Author,Ada Tang,FALSE,Other,PHRI,356,FALSE
Tang,Ada,Co-Author,Ada Tang,FALSE,Other,PHRI,916,FALSE
Tang,Ada,Co-Author,Ada Tang,FALSE,Other,PHRI,799,FALSE
Tang,Ada,First Listed Author,Ada Tang,FALSE,Other,PHRI,905,FALSE
Tang,Ada,Last Author,Ada Tang,FALSE,Other,PHRI,369,FALSE
Tang,Ada,First Listed Author,Ada Tang,FALSE,Other,PHRI,903,FALSE
Tang,Ada,Last Author,Ada Tang,FALSE,Other,PHRI,619,FALSE
Tang,Ada,Co-Author,Ada Tang,FALSE,Other,PHRI,615,FALSE
Tang,Ada,Last Author,Ada Tang,FALSE,Other,PHRI,774,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,839,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,599,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,483,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,909,FALSE
Demers,Catherine,Last Author,Catherine Demers,FALSE,Other,PHRI,701,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,460,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,377,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,787,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,420,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,740,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,448,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,718,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,628,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,531,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,704,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,775,FALSE
Demers,Catherine,First Listed Author,Catherine Demers,FALSE,Other,PHRI,270,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,972,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,693,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,613,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,298,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,167,FALSE
Demers,Catherine,Co-Author,Catherine Demers,FALSE,Other,PHRI,642,FALSE
Demers,Catherine,Last Author,Catherine Demers,FALSE,Other,PHRI,277,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,253,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,984,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,642,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,436,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,350,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,177,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,912,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,454,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,539,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,364,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,545,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,771,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,281,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,295,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,875,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,67,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,600,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,166,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,436,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,331,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,772,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,947,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,266,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,343,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,187,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,554,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,115,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,842,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,651,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,208,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,856,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,774,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,96,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,655,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,44,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,828,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,847,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,30,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,910,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,213,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,490,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,354,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,237,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,892,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,346,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,173,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,753,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,166,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,283,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,798,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,324,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,907,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,175,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,105,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,144,FALSE
de SA,Darren,First Listed Author,Darren de SA,FALSE,Other,PHRI,884,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,313,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,39,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,498,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,778,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,170,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,473,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,241,FALSE
de SA,Darren,Co-Author,Darren de SA,FALSE,Other,PHRI,760,FALSE
