lastName,fundingOrganization,programName,totalFunding,currency,researcherDesignation,firstName,otherFundingOrganization,Competitive,fundingStartDate,fundingEndDate,associate,department,title,fundingRole
Aghel,HAMILTON HEALTH SCIENCES,,50000,Canadian dollar,Research Fellow,Nazanin,HAMILTON HEALTH SCIENCES,TRUE,2021-01-01,2022-01-01,TRUE,,,
Aghel,Pfizer,Pfizers 2018 Global ASPIRE TTR Amyloidosis Competitive Grants Program,50000,Canadian dollar,Research Fellow,Nazanin,Pfizer,TRUE,2018-01-01,2019-01-01,TRUE,,,
Anand,Canadian Institutes of Health Research (CIHR),Bridge Funding,100000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2012-03-01,2013-04-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),CFI/CIHR Regional/National Clinical Research Initiatives,9582529,Canadian dollar,Senior Scientist,Sonia,,TRUE,2008-04-01,2013-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),"Environments, Genes and Chronic Disease",1953002,Canadian dollar,Senior Scientist,Sonia,,TRUE,2016-04-01,2021-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Foundation,2322187,Canadian dollar,Senior Scientist,Sonia,,TRUE,2015-09-01,2022-08-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Funding source: CIHR/ ICMR Development Fund,10000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2010-02-01,2011-01-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Heart and Stroke Foundation of Ontario (The) (HSFO),Grant in Aid,180920,Canadian dollar,Senior Scientist,Sonia,,TRUE,2011-10-01,2014-09-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Heart and Stroke Foundation of Canada (HSFC),Grant-In-Aid,98637,Canadian dollar,Senior Scientist,Sonia,,TRUE,2009-07-01,2011-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Heart and Stroke Foundation of Canada (HSFC),Grant-In-Aid,140000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2010-07-01,2012-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Heart and Stroke Foundation of Ontario (The) (HSFO),Grant-In-Aid,140170,Canadian dollar,Senior Scientist,Sonia,,TRUE,2012-07-01,2015-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Heart and Stroke Foundation of Ontario (The) (HSFO),Grant-In-Aid,171652,Canadian dollar,Senior Scientist,Sonia,,TRUE,2013-07-01,2016-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Heart and Stroke Foundation of Canada (HSFC),Grant-In-Aid,180000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2010-07-01,2012-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Heart and Stroke Foundation of Ontario (The) (HSFO),Grant-In-Aid,180920,Canadian dollar,Senior Scientist,Sonia,,TRUE,2011-07-01,2013-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Heart and Stroke Foundation of Canada (HSFC),Grant-In-Aid,301279,Canadian dollar,Senior Scientist,Sonia,,TRUE,2010-07-01,2013-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Heart and Stroke Foundation of Canada (HSFC),Grant-In-Aid,310000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2011-07-01,2014-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Heart and Stroke Foundation of Canada (HSFC),Grant-In-Aid,375000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2011-07-01,2014-06-01,FALSE,Internal - Investigator,Principal Investigator,
