studyName,studyFullName,studyCategoryId,studyCategory,studyDetail,studyStatus,studyType,startYear,endYear,sponsorName,studyDesign,noOfCountries,noOfSites,noOfParticipants
416858-CS4,"A Phase 2, Randomized, Double Blind, Placebo Controlled Study of the Safety, Pharmacokinetics, and Pharmacodynamics of Multiple Doses of ISIS 416858 (ISIS-FXI-RX an Antisense Inhibitor of Factor XI), Administered Subcutaneously to Patients with End-Stage Renal Disease on Hemodialysis",1,Renal,"Evaluate the safety, tolerability, pharmacokinetics, and pharmacodynamics of ISIS 416858 in End-Stage Renal Disease (ESRD) patient on hemodialysis",Publication,Interventional - Drug,2015,2016,IONIS Pharmaceuticals,,1,8,49
A Clinical Platform for Discovering Novel Regulators of Energy Expenditure,A Clinical Platform for Discovering Novel Regulators of Energy Expenditure - Vanguard,2,Childhood Risk Factors,"“A Clinical Platform for Discovering Novel Regulators of Energy Expenditure”, addresses a critical, persistent clinical problem in adults and in children – obesity and associated health impacts. It brings together a team of clinicians, pre-clinical scientists and bioinformatics discovery from the Centre for Metabolism, Obesity and Diabetes Research and Population Health Research Institute in an effort to identify new approaches to this long-standing issue.",New,Interventional - Procedure,2023,2025,PHRI,,,1,180
ACCORD,Action to Control Cardiovascular Risk in Diabetes,3,Diabetes,"To test treatment strategies aimed at reducing CV events in type 2 diabetes. The trial is designed to test the effects of major CVD events of intensive glycemia control, of treatment to increase HDL-cholesterol and lower triglycerides (in the context of good LDL-c and glycemias control), and of intensive blood pressure control (in the context of good glycemia control). On February 6 2008 the intensive arm of ACCORD was stopped and all intensive glycemia participants were ""transitioned"" to the standard glycemia arm of the trial due to an increase in mortality. All other arms continued as per protocol.

The primary endpoints are Reduction in blood Pressure, Reduction in Heart Rate, Modify lipids. Secondary endpoints: Platelet aggregation. Not adjudicated
",Publication,Interventional - Drug,2001,2009,,,2,77,10251
ACCORDION,ACCORDION (the ACCORD Follow-up Study),3,Diabetes,"To elucidate and clarify the long-term effects of the ACCORD treatment strategies and provide additional data on the long-term relationships among various cardiovascular and diabetic risk factors.

The primary endpoint for ACCORDION is the composite outcome of death from cardiovascular causes, nonfatal myocardial infarction, or nonfatal stroke.
",Publication,Interventional - Drug,2011,2015,NHLBI,,2,72,8601
ACHIEVE,Aldosterone bloCkade for Health Improvement EValuation in End-stage renal disease,1,Renal,,Recruitment,Interventional - Drug,2017,2025,PHRI,,12,157,3628
ACT COVID 19,Anti-Coronavirus Therapies to Prevent Progression of COVID-19 Trial (ACT COVID-19),4,Infectious Diseases,"ACT is a randomized clinical trial to assess therapies to reduce the clinical progression of COVID-19.

The ACT COVID-19 program consists of two parallel trials evaluating azithromycin and chloroquine therapy (ACT) versus usual care in outpatients and inpatients who have tested positive for COVID-19. The trial is an open-label, parallel group, randomized controlled trial with an adaptive design. Adaptive design features include adaptive intervention arms and adaptive sample size based on new and emerging data.",Publication,Interventional - Drug,2020,2020,PHRI,,1,14,45
ACT COVID19 2,"Anti-Coronavirus Therapies to Prevent Progression of COVID-19 Trial (ACT
COVID-19)",4,Infectious Diseases,"ACT is a randomized clinical trial to assess therapies to reduce the clinical progression of COVID-19.

The ACT COVID-19 program consists of two parallel trials evaluating azithromycin and chloroquine therapy (ACT) versus usual care in outpatients and inpatients who have tested positive for COVID-19. The trial is an open-label, parallel group, randomized controlled trial with an adaptive design. Adaptive design features include adaptive intervention arms and adaptive sample size based on new and emerging data.",Publication,Interventional - Drug,2020,2022,PHRI,,14,131,5260
ACTIVE,,,,,,,,,,,,,
ACTIVE A,Atrial Fibrillation Clopidogrel Trial with ASA for Prevention of Vascular Events,5,Arrhythmia,"To determine the efficacy of clopidogrel plus ASA versus ASA alone in patients with AF and with at least 1 risk factor for stroke who have a contraindication for other oral anticoagulation.

Composite outcome of stroke, non-CNS systemic embolism, myocardial infarction or vascular death
",Publication,Interventional - Drug,2003,2008,Sanofi,,33,633,7554
ACTIVE I,Atrial Fibrillation Clopidogrel Trial with Irbesartan for Prevention of Vascular Events,5,Arrhythmia,"To determine the efficacy (superiority) of Irbesartan compared to Placebo would reduce the risk of vascular events such as heart attack, stroke, non-cerebral thromboembolic event and death in patients with Atrial Fibrillation (AF) and with at least one major risk of vascular events.

Composite outcome of stroke, myocardial infarction, vascular death or hospitalization for heart failure
",Publication,Interventional - Drug,2003,2009,Sanofi,,33,633,9015
ACTIVE W,Atrial Fibrillation Clopidogrel Trial with Irbesartan for Prevention of Vascular Events,5,Arrhythmia,"To determine the efficacy (noninferiority) of clopidogrel plus ASA versus an other oral anticoagulation in patients with AF and at least 1 risk factor for stroke.

Composite outcome of stroke, non-CNS systemic embolism, myocardial infarction or vascular death
",Publication,Interventional - Drug,2003,2005,Sanofi,,33,633,6507
AF-HTN Pilot,Prevention of Stroke in Patients with Atrial Fibrillation with Aggessive Treatment of Blood Pressure: A Pilot Study,5,Arrhythmia,"To compare current guideline-based treatment of blood pressure (target less than or equal to 140/90) to an aggressive treatment of blood pressure (target less than or equal to 120/80) for the prevention of stroke in AF patients. Patients with atrial fibrillation who have high blood pressure will be invited to participate from 4 clinical centres across Canada. Patients will be assigned to either usual care (blood pressure treated to the current guideline-based target of less than 140/90) or aggressive treatment (blood pressure treated to a level of less than 120/80) and will have 5 visits during six months to achieve this target. The outcome of this pilot phase is to determine the actual achieved blood pressure at 6 and 12 months in the two treatment groups, the difference in blood pressure between groups, the rate of adverse events (if any) in both groups and the feasibility of recruiting eligible study patients.
",Publication,Interventional - Drug,2010,2011,PHRI,,1,4,10
AFOTS Incidence Study,High Sensitivity Estimate of the Incidence of Atrial Fibrillation Occurring Transiently with Stress,5,Arrhythmia,"We designed the present study to generate an accurate and precise estimate of the incidence of new atrial fibrillation in patients hospitalized in the ICU. Our systematic review found a wide range in published estimates about the incidence of AF in the ICU population (3-44%). This cohort will enroll consecutive patients who are admitted to the ICU and are at risk for but do not have a history of AF. Participants will wear an ECG monitoring patch for for the duration of their hospital stay or up to 14 days, whichever is shorter.",Publication,Observational,2019,2019,PHRI,,1,1,260
